,Review,Rate,Device,Review_length
0,Đẹp và sang trọng mọi người nếu đã chọn smatphone tầm cao thì nên chọn IP XS MAX vì thiết kế quá đẹp và chắc chắn.,5,iPhone Xs Max 64GB (No.00495366),89
1,Có thẻ tín dụng shinhan mà muốn góp 12 tháng nhưng có tiền chuyển đổi ngán quá,5,iPhone Xs Max 64GB (No.00495366),62
2,Nói chung dùng điện thoại Iphon là ok nhất,5,iPhone Xs Max 64GB (No.00495366),34
3,Dt dep sang chanh dang cap,5,iPhone Xs Max 64GB (No.00495366),21
4,Đt xài rất tốt nhưng giá vẫn quá mắc mong apple khắc coi lại giá bán,4,iPhone Xs Max 64GB (No.00495366),53
5,Đt xịn. Nhưng chưa có tiền mua. Vẫn cho 5 sao.,5,iPhone Xs Max 64GB (No.00495366),36
6,hjc một ngày mất máy triệu hjc hjc,3,iPhone Xs Max 64GB (No.00495366),27
7,nhìn đẹp quá,4,iPhone Xs Max 64GB (No.00495366),10
8,Máy tốt. Iphone XS max pin lâu hơn Iphone khác nhiều.,5,iPhone Xs Max 64GB (No.00495366),43
9,máy pin trâu đẹp không chê được,5,iPhone Xs Max 64GB (No.00495366),25
10,có lên đời từ ipad pro đươc ko shop,5,iPhone Xs Max 64GB (No.00495366),27
11,gói sản phẩm này cho chị trần thị kiều tiên,5,iPhone Xs Max 64GB (No.00495366),34
12,nên mua iphone xs max,5,iPhone Xs Max 64GB (No.00495366),17
13,"Mua 1 cái xs max hàng sing, ... Xài có chút mà nó ngốn pin kinh khủng luôn :( Hi vọng chính hãng sẽ tốt hơn",1,iPhone Xs Max 64GB (No.00495366),82
14,không nên mua nếu không có tiền,1,iPhone Xs Max 256GB (No.00495369),25
15,Muốn mua ipxs max mà trả trước 10% 20% coa được hk ạ,3,iPhone Xs 64GB (No.00495360),40
16,Vừa lấy 1 cây màu đen cá tính .. ưng hết sức Nhân viên rất nhiệt tình dù cửa hàng đã không có màu đen nhưng vẫn xuống kho cách cửa hàng hơn 30km để đem về cho mình..!,5,iPhone Xs 64GB (No.00495360),128
17,"Sản phẩm hoàn thiện rất đẹp, sử dụng rất tốt",5,iPhone Xs 64GB (No.00495360),35
18,"Sản phẩm dùng thật tuyệt vời, sang trọng đẳng cấp và rất mượt khi chơi game",5,iPhone Xs 64GB (No.00495360),60
19,"Mình mới mua con XR này thấy dùng ok lắm, trước khi mua cũng phân vân nhiều nhưng khi dùng thấy nó hoàn hảo, với túi tiền như vậy quá xứng đáng rồi. Ai đang phân vân thì mình nghĩ cũng như mình trước lúc mua, sau về dùng ko chê vào đâu đc.",5,iPhone XR 64GB (No.00495370),186
20,"Pin trâu nhất dòng x rồi, dùng mà cứ mong hết pin để sạc miết, màn hình thấy chê nhiều nhưng khi trải nghiệm thì chả chênh lệch bao nhiêu, hiệu năng tuyệt vời, camera tốt quá thực, :D quá đáng giá sản phẩm thực dụng :D",5,iPhone XR 64GB (No.00495370),172
21,"một sản phẩm có hàm lượng công nghệ cao so với giá thành. màn hình LCD hay vỏ nhôm series 7000 là hợp lí so với hiệu năng mang lại và trải nghiệm tuyệt vời nhất, nếu không hài lòng bạn có thể tự mua XS Max hơn 10tr nữa mà",5,iPhone XR 64GB (No.00495370),171
22,"Nói chung với cái giá hơn 20 triệu cho một chiếc với màn hình LCD thì chắc chắn có nhiều người e ngại có nên quyết định mua hay không, nhưng mà theo tôi đang sử dụng thì dòng XR này nó mặc dù chưa đạt đến chữ GIỎI nhưng nó lại hơn nhiều so với chữ KHÁ. Nếu ai đang phân vân thì theo tôi XR cũng đáng để dùng và nó cũng đáng với hai chữ trải nghiêm.",4,iPhone XR 64GB (No.00495370),269
23,Giá vậy là đc rồi,5,iPhone XR 64GB (No.00495370),13
24,"Độ phân giải không cao bằng các máy Android khác, nhưng sử dụng thực tế cảm giác mịn hơn cả con Note 9 vợ đang xài. Ai chưa nhìn thực tế thì nên ra cửa hàng trải nghiệm thực tế nhé. Giá chính hãng khuyến mãi các thứ còn tốt hơn cả xách tay, mới hốt 1 em xong",5,iPhone XR 64GB (No.00495370),200
25,"Thiết kế nhìn rẻ tiền, viền dày, ko có 3D toud, và lại chỉ có 1 camera, và chỉ là màn hình LCD. Giá dự kiến lại khá cao 22 tr. Bù thêm vài triệu mua XS ngon hơn. Theo ý kiến của mình như vậy.",1,iPhone XR 64GB (No.00495370),146
26,"Màn hình máy xài rất ổn, phải nhìn thực tế, chứ đừng nghe những thanh niên cào phím trên mạng",5,iPhone XR 128GB (No.00500236),74
27,Em đặt hàng online trả góp k được shop giúp e với,4,iPhone X 64GB (No.00395596),38
28,"Mấy bố k mua máy nhưng vào bl cho oai hs ý. E này ngon, mua màu bạc trầy xước viền sẽ k nhìn rõ. Pin nhanh hết. Cam tuyệt đẹp. Hiệu năng siêu ngon . Đấy là bạn e bảo thế. Chứ tiền đâu mà e mua",5,iPhone X 64GB (No.00395596),145
29,Mọi thứ ổn hết. Chỉ uổng cái viền :)),5,iPhone X 64GB (No.00395596),29
30,Máy xài ok có điều lúc khui hộp trong hộp ko có cây lấy sim . Nhà sản xuất ........???,4,iPhone X 64GB (No.00395596),67
31,"Tôi mới dùng được 10 ngày, phải công nhận em này cầm vừa tay, lướt mạng nhanh, hình chụp sắc nét.... nói chung là tôi rất thích em iphonx này",5,iPhone X 64GB (No.00395596),112
32,Tốt nhưng dễ bể,5,iPhone X 64GB (No.00395596),12
33,Đánh giá5* nhưng mà cho e hỏi. Máy e cảm ứng lúc nhạy lúc lại ko nhận là ntn?,5,iPhone X 64GB (No.00395596),59
34,"Khuyết điểm: hơi nặng, hay lỗi mạng nhá, các thánh game online chơi thì mau nóg máy, cam lồi nên dễ trầy Ưu điểm: chạy rất mượt, màg hình full cho bạn cảm giác gốc nhìn rộng, ko có nút home cứng nhưng chỉ cần một cái vuốt tay là bạn có thể về home nhé rất tiện, nhỏ vừa tay cầm rất đẹp Mõi cái nặng cầm lâu tê ngón út",4,iPhone X 64GB (No.00395596),246
35,Đang dùng chạy rất ok. Không có nút home nhưng rất tiện Nói chung vừa tay cầm rất đẹp,5,iPhone X 64GB (No.00395596),67
36,chuẩn ko cần chỉnh,5,iPhone X 64GB (No.00395596),15
37,"0937508993 - mình Tên Khoa, vui lòng liên hệ mình gấp, mình cần mua iphone X 64GB màu xám",5,iPhone X 64GB (No.00395596),71
38,"Nên mua vì thông minh, tiện lợi và sang trọng!",4,iPhone X 64GB (No.00395596),37
39,"cho mình hỏi, nếu mua ốp lưng dc giảm giá 20% thì khi mua 4 món phụ kiện kèm ốp lưng thì mình có dc giảm 20% ốp lưng kèm giảm 15% khi mua 4 món pk đó không",5,iPhone X 64GB (No.00395596),117
40,Sản phẩm khá ngon,4,iPhone X 64GB (No.00395596),14
41,https://shorten.asia/fda7wS9T,5,iPhone X 64GB (No.00395596),29
42,- Giảm giá có được mua trả góp ko ad,5,iPhone X 64GB (No.00395596),27
43,Cho mình hỏi giá 25.990.000 có được trả góp thẻ tín dụng không ?,5,iPhone X 64GB (No.00395596),52
44,Sao giá cao vậy,3,iPhone X 64GB (No.00395596),12
45,E mới mua iphone 7plus 128g nếu h đổi lại iphone x thì bù bao nhiêu hả shop,4,iPhone X 64GB (No.00395596),58
46,"tính năng của điện thoại và tính năng sử dụng vượt trội, gọn, dễ sử dụng",5,iPhone X 64GB (No.00395596),57
47,Cho hỏi tai sao khi thoại với một số dt khác tiếng kính của mình rất nho đầu dây bên kia nghe ko rõ đôi khi phải gào lên mới nghe thấy. Xin cảm ơn.,4,iPhone X 64GB (No.00395596),115
48,"Dùng ổn, cũng mượt, nhưng mà dễ nóng máy quá , nên cầm nó nóng + nặng tay quá :v Hôm trc đi mua có chị nhân viên hơi vô duyên",3,iPhone X 64GB (No.00395596),95
49,Giá ipx mới tại FPT giờbao tiền vậy ad ?,3,iPhone X 64GB (No.00395596),31
50,Không nên mua vì bị lỗi,1,iPhone X 64GB (No.00395596),18
51,k có gì để chê mình dùng cả s9 so sánh 2 máy thì iphone quá là vượt trội về mọi thứ trừ pin,5,iPhone X 64GB (No.00395596),68
52,k có gì để chê mình dùng cả s9 so sánh 2 máy thì iphone quá là vượt trội về mọi thứ trừ pin,5,iPhone X 64GB (No.00395596),68
53,Nút home là như là biểu tượng của apple. Mình vẫn ko thích thay đổi ở điểm này.,3,iPhone X 64GB (No.00395596),62
54,Riêng tôi hoặc bất kỳ Ace nào khi chạm vào iPhone X.đều nhận xét về hình dạng. Kích thước gọn và cứng cáp.đồng thời rất sang trọng.rất tuyệt vời khi sử dụng các ứng dụng.nhanh,5,iPhone X 64GB (No.00395596),141
55,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
56,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
57,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
58,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
59,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
60,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
61,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
62,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
63,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
64,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
65,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
66,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
67,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
68,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
69,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
70,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
71,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
72,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
73,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
74,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
75,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
76,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
77,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
78,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
79,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
80,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
81,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
82,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
83,rất thuận tiện cho người lái ô tô với Face ID. Kích thước hợp lý hơn dòng PLus,5,iPhone X 64GB (No.00395596),61
84,Quá đắt so với thu nhập của ng việt ra k đúng thời điểm,1,iPhone X 64GB (No.00395596),42
85,Dep lam nhung ma dat qua,5,iPhone X 64GB (No.00395596),19
86,Quá đắt đỏ mà chẳng có đột phá so với số tiền bỏ ra,3,iPhone X 64GB (No.00395596),38
87,"có, nhưng cần cải thiện dung lương pin tốt hơn",5,iPhone X 64GB (No.00395596),37
88,"Tiền nào của nấy. Máy chạy nhanh, nuột và trông rất đẳng cấp. Sau 10 ngày dùng máy chưa thấy trục trặc gì xảy ra.",4,iPhone X 64GB (No.00395596),89
89,Toàn câu like,1,iPhone X 64GB (No.00395596),11
90,"Với giá quá mắc như vậy, ngoài thương hiệu nổi tiếng, thiết kế đẹp, cấu hình lớn thì trải nghiệm về IP thât sự k tốt lắm khi hay bị lỗi nhận sim, bắt sóng yếu, gửi tin nhắn hay lỗi và IOS quá ít ứng dụng hơn so với Android. Mà đa số ứng dụng hay toàn mất phí -_- Kì này đổi sang Zenfon 5z của Asus dùng qá! Gía cũng hợp lý hơn nữa!",3,iPhone X 64GB (No.00395596),255
91,"Nếu ai đó đang hài lòng về sản phẩm anh X này thì tôi hoàn toàn ngược lại. Sau khi dùng 1 tháng có các đánh giá sau. 1./ Cầm máy trên tay có bao kẻ phải ngước nhìn. 2./ Cầm máy thấy sự sang trọng và Tinh tế của sự chỉnh chu, nghiêm túc trong nghiên cứu về sự mới lạ, tiện năng. Đó là 2 cái hài lòng. Riêng ko hài lòng 1 cái mà hình như cả thế giới này đều gặp. 1./ Chất Lượng sóng quá kém, máy thường xuyên không nhận được cuộc gọi. 2./ Máy hay báo bận, thông báo cuộc gọi nhỏ. Thân ái.",1,iPhone X 64GB (No.00395596),376
92,rat tuyet voi,5,iPhone X 64GB (No.00395596),11
93,M vừa mua ip x bản 256g bên fpt mà về máy lại có hiện tượng lướt facebook bị quay đều và k đi tiếp trên wall dc. Chỉ xem dc. 1 lượng tin nhất định. Rất giống với máy ip cũ của m. Mà trong khi mạng nhà m dt samsung lại lướt ầm ầm k hề có hiện tượng như vậy. Khắc phục dc k bạn?,3,iPhone X 64GB (No.00395596),209
